,CATEGORY,PRODUCT,DATE,CUSTOMER NAME,STATUS,INVOICE NUMBER,UNIT,QTY,UNIT PRICE,TOTAL AMOUNT,ENCOUNTER TYPE,CREATED BY
20341,Non-medical,Gebedol,2024-03-31,,Paid,IN-OCL-030868-0,Pack,1,5.0,5.0,walk-in,Stella Anane
20346,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-03-31,,Paid,IN-OCL-030864-6,,2,3.0,6.0,walk-in,Stella Anane
20340,Non-medical,KOSA SALINE NASAL DROP,2024-03-31,,Paid,IN-OCL-030869-3,Container,1,8.0,8.0,walk-in,Stella Anane
20334,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-03-31,,Paid,IN-OCL-030872-6,,1,3.0,3.0,walk-in,Stella Anane
20338,Non-medical,E-PANOL PARACETAMOL 120MG/5ML 100ML,2024-03-31,,Paid,IN-OCL-030870-1,Bottle,1,15.0,15.0,walk-in,Stella Anane
20337,Non-medical,LEMSIP MAX COLD /FLU,2024-03-31,,Paid,IN-OCL-030871-0,Strip,2,11.0,22.0,walk-in,Stella Anane
20336,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-03-31,,Paid,IN-OCL-030871-0,,2,3.0,6.0,walk-in,Stella Anane
20335,Non-medical,EFPAC TABLETS,2024-03-31,,Paid,IN-OCL-030872-6,Strip,1,3.0,3.0,walk-in,Stella Anane
20333,Medical,EBONY CONDOM,2024-03-31,,Paid,IN-OCL-030873-0,Pack,3,7.0,21.0,walk-in,Stella Anane
20332,Medical,KISS CONDOM,2024-03-31,,Paid,IN-OCL-030873-0,sachet,2,6.0,12.0,walk-in,Stella Anane
20331,Medical,DEEP FREEZE SPRAY,2024-03-31,,Paid,IN-OCL-030874-9,ml,1,77.0,77.0,walk-in,Stella Anane
20330,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-03-31,,Paid,IN-OCL-030875-2,Pack,1,5.0,5.0,walk-in,Stella Anane
20329,Non-medical,BECOACTIN TABLET,2024-03-31,,Paid,IN-OCL-030876-4,Box,1,30.0,30.0,walk-in,Stella Anane
20328,Non-medical,DYNEWELL TABS,2024-03-31,,Paid,IN-OCL-030877-1,ml,1,2.0,2.0,walk-in,Stella Anane
20352,Medical,MASCULAN LUBRICANT GEL,2024-03-31,,Paid,IN-OCL-030862-0,Bottle,1,68.0,68.0,walk-in,Stella Anane
20339,Non-medical,ASCOVITE CEE SYRUP 100ML,2024-03-31,,Paid,IN-OCL-030869-3,ml,1,18.0,18.0,walk-in,Stella Anane
20353,Non-medical,ESCOTRIM TAB,2024-03-31,,Paid,IN-OCL-030861-2,Tablet,2,4.0,8.0,walk-in,Stella Anane
20351,Medical,KISS CONDOM,2024-03-31,,Paid,IN-OCL-030862-0,sachet,1,6.0,6.0,walk-in,Stella Anane
20355,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-03-31,,Paid,IN-OCL-030860-4,,2,2.0,4.0,walk-in,Stella Anane
20354,Non-medical,RAPINOL TABS,2024-03-31,,Paid,IN-OCL-030860-4,Tablets,1,2.0,2.0,walk-in,Stella Anane
20379,Non-medical,SE'CLEAR EYE/EAR DROPS 10ML,2024-03-31,,Paid,IN-OCL-030846-7,Vial,1,24.0,24.0,walk-in,Stella Anane
20378,Non-medical,DREZ OINTMENT 10GM,2024-03-31,,Paid,IN-OCL-030846-7,Tube,1,29.0,29.0,walk-in,Stella Anane
20377,Non-medical,EASYCARE FABRIC PLASTERS SACHET,2024-03-31,,Paid,IN-OCL-030846-7,Piece,4,2.0,8.0,walk-in,Stella Anane
20376,Non-medical,LUEX FLUREST COLD AND FLU TABLETS,2024-03-31,,Paid,IN-OCL-030847-8,,1,40.0,40.0,walk-in,Stella Anane
20375,Medical,ROUGH RIDER CONDOM FP 3',2024-03-31,,Paid,IN-OCL-030848-5,Pack,1,27.0,27.0,walk-in,Stella Anane
20374,Non-medical,DOXYCYCLINE 100MG (UK) /STRIP,2024-03-31,,Paid,IN-OCL-030849-6,,2,25.0,50.0,walk-in,Stella Anane
20372,Non-medical,METRONIDAZOLE 400MG TAB 21'S EXETER,2024-03-31,,Paid,IN-OCL-030849-6,Pack,2,24.0,48.0,walk-in,Stella Anane
20371,Non-medical,DIFLUCAN FLUCONAZOLE 150MG CAP PFIZER,2024-03-31,,Paid,IN-OCL-030849-6,Tablet,2,104.0,208.0,walk-in,Stella Anane
20370,Non-medical,TINATETT VENECARE 750ML,2024-03-31,,Paid,IN-OCL-030849-6,ml,1,55.0,55.0,walk-in,Stella Anane
20369,Non-medical,FLUXACIN FLUCLOXACILIN 250MG CAP 500'S ECL,2024-03-31,,Paid,IN-OCL-030849-6,Tablet,2,8.0,16.0,walk-in,Stella Anane
20368,Non-medical,TADOL TRAMADOL 100MG CAPS 30'S,2024-03-31,,Paid,IN-OCL-030850-3,Tablet,10,9.0,90.0,walk-in,Stella Anane
20373,Non-medical,TETRACYCLINE CAPSULES 250mg LETAP,2024-03-31,,Paid,IN-OCL-030849-6,Capsule,4,4.0,16.0,walk-in,Stella Anane
20366,Non-medical,LOFNAC-100 SUPP,2024-03-31,,Paid,IN-OCL-030852-2,Suppossitory,3,2.0,6.0,walk-in,Stella Anane
20367,Non-medical,LEMSIP MAX COLD /FLU,2024-03-31,,Paid,IN-OCL-030851-2,Strip,10,11.0,110.0,walk-in,Stella Anane
20356,Non-medical,JET 2 INHALER,2024-03-31,,Paid,IN-OCL-030859-8,Pack,1,15.0,15.0,walk-in,Stella Anane
20357,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-03-31,,Paid,IN-OCL-030859-8,,1,3.0,3.0,walk-in,Stella Anane
20358,Non-medical,PIRITON CHLORPHENIRAMINE 4MG 30'S,2024-03-31,,Paid,IN-OCL-030858-0,Tablet,2,4.0,8.0,walk-in,Stella Anane
20360,Non-medical,ZUBES CHILDRENS COUGH SYRUP 60ML,2024-03-31,,Paid,IN-OCL-030858-0,Bottle,1,23.0,23.0,walk-in,Stella Anane
20359,Non-medical,MENTHOX SUPER STRONG COUGH LOZENGES,2024-03-31,,Paid,IN-OCL-030858-0,Strip,2,1.5,3.0,walk-in,Stella Anane
20362,Non-medical,NO.10 LIVERSALT ERN,2024-03-31,,Paid,IN-OCL-030856-2,sachet,3,2.0,6.0,walk-in,Stella Anane
20363,Non-medical,OXAFEN CAPS,2024-03-31,,Paid,IN-OCL-030855-3,,1,38.0,38.0,walk-in,Stella Anane
20364,Non-medical,EFPAC TABLETS,2024-03-31,,Paid,IN-OCL-030854-1,Strip,1,3.0,3.0,walk-in,Stella Anane
20365,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-03-31,,Paid,IN-OCL-030853-2,,1,2.0,2.0,walk-in,Stella Anane
20361,Non-medical,EFPAC TABLETS,2024-03-31,,Paid,IN-OCL-030857-7,Strip,1,3.0,3.0,walk-in,Stella Anane
20284,Medical,PEPSODENT TRIPLE PROTECTION 140G,2024-04-01,,Paid,IN-OCL-030908-1,Pack,1,24.0,24.0,walk-in,Stella Anane
20287,Non-medical,LYDIA POSTPILL,2024-04-01,,Paid,IN-OCL-030906-9,Pack,1,15.0,15.0,walk-in,Stella Anane
20285,Non-medical,AUNTIE MARY GRIPE WATER,2024-04-01,,Paid,IN-OCL-030908-1,Bottle,1,27.0,27.0,walk-in,Stella Anane
20286,Non-medical,NAKLOFEN DUO 75MG CAP 20'S,2024-04-01,,Paid,IN-OCL-030907-2,Tablet,20,5.0,100.0,walk-in,Stella Anane
20288,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-04-01,,Paid,IN-OCL-030905-5,Pack,2,5.0,10.0,walk-in,Stella Anane
20293,Non-medical,COARTEM TAB 20/120 6'S,2024-04-01,,Paid,IN-OCL-030904-7,Tab,1,48.0,48.0,walk-in,Stella Anane
20290,Non-medical,PREGNANCY TEST KITS,2024-04-01,,Paid,IN-OCL-030905-5,Box,2,5.0,10.0,walk-in,Stella Anane
20291,Non-medical,E-PANOL PARACETAMOL 120MG/5ML 100ML,2024-04-01,,Paid,IN-OCL-030905-5,Bottle,1,15.0,15.0,walk-in,Stella Anane
20292,Medical,CALPOL INFANT SUSP 100ML,2024-04-01,,Paid,IN-OCL-030904-7,Bottle,1,104.0,104.0,walk-in,Stella Anane
20294,Non-medical,TAGERA FORTE SECNIDAZOLE 2G 2'S TAB,2024-04-01,,Paid,IN-OCL-030903-7,Pack,1,20.0,20.0,walk-in,Stella Anane
20283,Non-medical,AMOKSICLAV 1G,2024-04-01,,Paid,IN-OCL-030909-6,,1,119.0,119.0,walk-in,Stella Anane
20289,Non-medical,MAALOX ANTACID SACHETS 20'S,2024-04-01,,Paid,IN-OCL-030905-5,sachet,20,4.5,90.0,walk-in,Stella Anane
20282,Non-medical,MALAR 2 FORTE,2024-04-01,,Paid,IN-OCL-030910-3,pc,1,34.0,34.0,walk-in,Stella Anane
20269,Non-medical,DIAZEPAM 10MG TAB 500'S ECL,2024-04-01,,Paid,IN-OCL-030919-1,Tablet,1,2.0,2.0,walk-in,Stella Anane
20280,Non-medical,ZUBES EXTRA STRONG 125ML,2024-04-01,,Paid,IN-OCL-030911-4,Bottle,1,42.0,42.0,walk-in,Stella Anane
20279,Non-medical,MENTHODEX LOZENGES,2024-04-01,,Paid,IN-OCL-030911-4,pc,1,25.0,25.0,walk-in,Stella Anane
20278,Non-medical,WORMPLEX 400 TAB,2024-04-01,,Paid,IN-OCL-030912-9,,2,15.0,30.0,walk-in,Stella Anane
20277,Non-medical,FEROGLOBIN PLUS SYRUP,2024-04-01,,Paid,IN-OCL-030913-3,ml,1,162.0,162.0,walk-in,Stella Anane
20276,Medical,BLOOD PRESSURE TEST,2024-04-01,,Paid,IN-OCL-030914-2,gram,2,2.0,4.0,walk-in,Stella Anane
20275,Medical,BEL-AQUA WATER M/S,2024-04-01,,Paid,IN-OCL-030915-2,ml,1,3.0,3.0,walk-in,Stella Anane
20274,Non-medical,VERMOX ORAL TABLET 500MG,2024-04-01,,Paid,IN-OCL-030916-5,,4,24.0,96.0,walk-in,Stella Anane
20273,Non-medical,WORMPLEX 400 TAB,2024-04-01,,Paid,IN-OCL-030916-5,,1,15.0,15.0,walk-in,Stella Anane
20272,Non-medical,MIST SENNACO 200ML,2024-04-01,,Paid,IN-OCL-030916-5,ml,1,10.0,10.0,walk-in,Stella Anane
20271,Non-medical,Folic Acid 5mg,2024-04-01,,Paid,IN-OCL-030917-3,gram,2,1.0,2.0,walk-in,Stella Anane
20270,Non-medical,CHLORPHENIRAMINE 4MG TAB 1000'S PHARMANOVA,2024-04-01,,Paid,IN-OCL-030918-1,Tablet,1,4.0,4.0,walk-in,Stella Anane
20268,Medical,BLOOD PRESSURE TEST,2024-04-01,,Paid,IN-OCL-030919-1,gram,1,2.0,2.0,walk-in,Stella Anane
20295,Non-medical,NAKLOFEN DUO 75MG CAP 20'S,2024-04-01,,Paid,IN-OCL-030903-7,Tablet,10,5.0,50.0,walk-in,Stella Anane
20281,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-04-01,,Paid,IN-OCL-030910-3,Pack,1,5.0,5.0,walk-in,Stella Anane
20296,Non-medical,NO.10 LIVERSALT ERN,2024-04-01,,Paid,IN-OCL-030902-8,sachet,1,2.0,2.0,walk-in,Stella Anane
20313,Non-medical,Gebedol,2024-04-01,,Paid,IN-OCL-030888-9,Pack,1,5.0,5.0,walk-in,Richard Addo Owusu
20298,Non-medical,DRAGON SPRAY,2024-04-01,,Paid,IN-OCL-030901-6,Pack,1,40.0,40.0,walk-in,Stella Anane
20297,Medical,EBONY CONDOM,2024-04-01,,Paid,IN-OCL-030901-6,Pack,1,7.0,7.0,walk-in,Stella Anane
20327,Non-medical,NO.10 LIVERSALT ERN,2024-04-01,,Paid,IN-OCL-030878-8,sachet,5,2.0,10.0,walk-in,Richard Addo Owusu
20326,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-04-01,,Paid,IN-OCL-030879-2,Pack,1,5.0,5.0,walk-in,Richard Addo Owusu
20325,Non-medical,SHALTOUX  LOZENGES,2024-04-01,,Paid,IN-OCL-030879-2,LOZENGES,1,1.0,1.0,walk-in,Richard Addo Owusu
20324,Medical,BLOOD PRESSURE TEST,2024-04-01,,Paid,IN-OCL-030880-9,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20322,Non-medical,EFPAC TABLETS,2024-04-01,,Paid,IN-OCL-030881-5,Strip,1,3.0,3.0,walk-in,Richard Addo Owusu
20321,Non-medical,LUEX FLUREST COLD AND FLU TABLETS,2024-04-01,,Paid,IN-OCL-030882-8,,1,40.0,40.0,walk-in,Richard Addo Owusu
20320,Non-medical,DECATYLEN LOZENGES 20'S ACINO,2024-04-01,,Paid,IN-OCL-030883-1,Tablet,3,4.5,13.5,walk-in,Richard Addo Owusu
20319,Medical,KISS CONDOM,2024-04-01,,Paid,IN-OCL-030884-3,sachet,1,6.0,6.0,walk-in,Richard Addo Owusu
20318,Non-medical,FLUCONA FLUCONAZOLE DENK 150MG CAP 1'S,2024-04-01,,Paid,IN-OCL-030885-0,Tablet,1,48.0,48.0,walk-in,Richard Addo Owusu
20317,Non-medical,VAGINAX CREAM,2024-04-01,,Paid,IN-OCL-030885-0,Tube,1,12.0,12.0,walk-in,Richard Addo Owusu
20316,Non-medical,MYCOSTAT CAPS,2024-04-01,,Paid,IN-OCL-030885-0,,2,12.0,24.0,walk-in,Richard Addo Owusu
20315,Non-medical,DRAGON TABS,2024-04-01,,Paid,IN-OCL-030886-6,Tablets,1,9.0,9.0,walk-in,Richard Addo Owusu
20314,Non-medical,NASAL INHALER LUEX,2024-04-01,,Paid,IN-OCL-030887-6,Container,1,14.0,14.0,walk-in,Richard Addo Owusu
20323,Non-medical,BLOOD GLUCOSE CHECK,2024-04-01,,Paid,IN-OCL-030880-9,gram,1,10.0,10.0,walk-in,Richard Addo Owusu
20312,Non-medical,VERMOX ORAL TABLET 500MG,2024-04-01,,Paid,IN-OCL-030889-1,,2,24.0,48.0,walk-in,Richard Addo Owusu
20299,Non-medical,DUREX FEELS CONDOMS 3'S,2024-04-01,,Paid,IN-OCL-030900-6,Piece,1,19.0,19.0,walk-in,Stella Anane
20301,Medical,BEL-AQUA WATER M/S,2024-04-01,,Paid,IN-OCL-030898-0,ml,1,3.0,3.0,walk-in,Stella Anane
20302,Non-medical,APC TAB CPD BL 10'S,2024-04-01,,Paid,IN-OCL-030897-4,Tab,1,3.0,3.0,walk-in,Stella Anane
20303,Medical,KISS CONDOM,2024-04-01,,Paid,IN-OCL-030896-3,sachet,1,6.0,6.0,walk-in,Stella Anane
20304,Non-medical,LUEX FLUREST COLD AND FLU TABLETS,2024-04-01,,Paid,IN-OCL-030895-9,,1,40.0,40.0,walk-in,Stella Anane
20305,Non-medical,LOZATY LOZENGES 16'S,2024-04-01,,Paid,IN-OCL-030895-9,pc,8,3.0,24.0,walk-in,Stella Anane
20300,Medical,BEL-AQUA WATER M/S,2024-04-01,,Paid,IN-OCL-030899-0,ml,1,3.0,3.0,walk-in,Stella Anane
20307,Non-medical,E-PANOL PARACETAMOL 120MG/5ML 100ML,2024-04-01,,Paid,IN-OCL-030893-4,Bottle,1,15.0,15.0,walk-in,Richard Addo Owusu
20306,Non-medical,NUGEL O ANTACID SUSP 200ML,2024-04-01,,Paid,IN-OCL-030894-1,Bottle,1,66.0,66.0,walk-in,Richard Addo Owusu
20310,Medical,BLOOD PRESSURE TEST,2024-04-01,,Paid,IN-OCL-030890-2,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20311,Non-medical,HISTAZINE TAB  10MG,2024-04-01,,Paid,IN-OCL-030889-1,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20308,Non-medical,NIFEDI-DENK 20MG 100'S,2024-04-01,,Paid,IN-OCL-030892-7,Strip,10,2.0,20.0,walk-in,Richard Addo Owusu
20309,Non-medical,ROBB JAR,2024-04-01,,Paid,IN-OCL-030891-6,Cream,1,10.0,10.0,walk-in,Richard Addo Owusu
20199,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030958-2,,2,3.0,6.0,walk-in,Stella Anane
20200,Non-medical,LUEX FLUREST COLD AND FLU TABLETS,2024-04-02,,Paid,IN-OCL-030958-2,,1,40.0,40.0,walk-in,Stella Anane
20201,Non-medical,STOPKOF EXPECTORANT  CHILDREN 2%100ML,2024-04-02,,Paid,IN-OCL-030957-3,Bottle,1,30.0,30.0,walk-in,Stella Anane
20202,Non-medical,METAGYL TABLETS 400MG,2024-04-02,,Paid,IN-OCL-030957-3,Tablet,1,5.0,5.0,walk-in,Stella Anane
20203,Non-medical,PENICILIN V 125MG,2024-04-02,,Paid,IN-OCL-030957-3,,1,3.0,3.0,walk-in,Stella Anane
20204,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-04-02,,Paid,IN-OCL-030957-3,,2,2.0,4.0,walk-in,Stella Anane
20205,Non-medical,MALAR 2 SUSPENSION,2024-04-02,,Paid,IN-OCL-030957-3,ml,1,30.0,30.0,walk-in,Stella Anane
20206,Non-medical,DOXYCYCLINE 100MG - ERNEST CHEMIST,2024-04-02,,Paid,IN-OCL-030956-3,sachet,2,8.0,16.0,walk-in,Stella Anane
20207,Non-medical,CREPE BANDAGE 2'',2024-04-02,,Paid,IN-OCL-030955-8,pc,1,8.0,8.0,walk-in,Stella Anane
20208,Non-medical,DICLO-DENK RECTAL 100MG 10',2024-04-02,,Paid,IN-OCL-030954-6,pc,10,7.0,70.0,walk-in,Stella Anane
20198,Medical,BORGES OLIVE OIL 125ML,2024-04-02,,Paid,IN-OCL-030959-7,Bottle,1,42.0,42.0,walk-in,Stella Anane
20210,Non-medical,Metrolex F,2024-04-02,,Paid,IN-OCL-030954-6,gram,1,27.0,27.0,walk-in,Stella Anane
20211,Non-medical,FLUXACIN FLUCLOXACILIN 500MG CAP 200'S ECL,2024-04-02,,Paid,IN-OCL-030953-1,Tablet,3,15.0,45.0,walk-in,Stella Anane
20212,Non-medical,DICLO-DENK RECTAL 100MG 10',2024-04-02,,Paid,IN-OCL-030953-1,pc,6,7.0,42.0,walk-in,Stella Anane
20218,Non-medical,SHALTOUX  LOZENGES,2024-04-02,,Paid,IN-OCL-030949-2,LOZENGES,10,1.0,10.0,walk-in,Stella Anane
20214,Non-medical,TETRACYCLINE CAPSULES 250mg LETAP,2024-04-02,,Paid,IN-OCL-030952-2,Capsule,2,4.0,8.0,walk-in,Stella Anane
20215,Non-medical,PREGNANCY TEST KITS,2024-04-02,,Paid,IN-OCL-030952-2,Box,1,5.0,5.0,walk-in,Stella Anane
20216,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030951-0,,2,3.0,6.0,walk-in,Stella Anane
20217,Non-medical,LOFNAC-100 SUPP,2024-04-02,,Paid,IN-OCL-030950-3,Suppossitory,5,2.0,10.0,walk-in,Stella Anane
20209,Non-medical,BECOACTIN SYRUP 200ML,2024-04-02,,Paid,IN-OCL-030954-6,Bottle,1,30.0,30.0,walk-in,Stella Anane
20197,Non-medical,PIRITON CHLORPHENIRAMINE 4MG 30'S,2024-04-02,,Paid,IN-OCL-030960-0,Tablet,1,4.0,4.0,walk-in,Stella Anane
20183,Medical,KISS CONDOM,2024-04-02,,Paid,IN-OCL-030972-7,sachet,1,6.0,6.0,walk-in,Stella Anane
20195,Non-medical,MARTINS LIVER SALT LEMON,2024-04-02,,Paid,IN-OCL-030961-3,sachet,5,2.0,10.0,walk-in,Stella Anane
20219,Non-medical,DRAGON SPRAY,2024-04-02,,Paid,IN-OCL-030949-2,Pack,1,40.0,40.0,walk-in,Stella Anane
20175,Non-medical,ZULU-100 TABS,2024-04-02,,Paid,IN-OCL-030976-1,Tablets,1,9.0,9.0,walk-in,Stella Anane
20176,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030975-2,,1,3.0,3.0,walk-in,Stella Anane
20177,Non-medical,DR.  MEYERS COLDAFLU PLUS TABS 4'S,2024-04-02,,Paid,IN-OCL-030975-2,Tablet,1,2.0,2.0,walk-in,Stella Anane
20178,Non-medical,MALAR 2 FORTE DS,2024-04-02,,Paid,IN-OCL-030975-2,gram,1,30.0,30.0,walk-in,Stella Anane
20179,Non-medical,ECL VITAMIN B COMPLEX,2024-04-02,,Paid,IN-OCL-030974-6,Bottle,2,1.0,2.0,walk-in,Stella Anane
20180,Non-medical,MULTIVITAMIN TABLET,2024-04-02,,Paid,IN-OCL-030974-6,,2,1.0,2.0,walk-in,Stella Anane
20181,Non-medical,FLUXACIN FLUCLOXACILIN 250MG CAP 500'S ECL,2024-04-02,,Paid,IN-OCL-030974-6,Tablet,2,8.0,16.0,walk-in,Stella Anane
20182,Non-medical,E-PANOL PARACETAMOL 120MG/5ML 100ML,2024-04-02,,Paid,IN-OCL-030973-5,Bottle,1,15.0,15.0,walk-in,Stella Anane
20196,Non-medical,CHLORPHENIRAMINE 4MG TAB 1000'S PHARMANOVA,2024-04-02,,Paid,IN-OCL-030960-0,Tablet,1,4.0,4.0,walk-in,Stella Anane
20184,Non-medical,FIESTA CONDOMS CLASSIC,2024-04-02,,Paid,IN-OCL-030971-6,gram,1,7.0,7.0,walk-in,Stella Anane
20186,Non-medical,COLODIUM LOPERAMIDE 2MG CAP 100'S HOVID,2024-04-02,,Paid,IN-OCL-030969-2,Tablet,1,7.0,7.0,walk-in,Stella Anane
20187,Medical,KISS CONDOM,2024-04-02,,Paid,IN-OCL-030968-3,sachet,1,6.0,6.0,walk-in,Stella Anane
20188,Medical,AWAKE WATER 500ML,2024-04-02,,Paid,IN-OCL-030967-3,ml,1,2.0,2.0,walk-in,Stella Anane
20189,Non-medical,LYDIA POSTPILL,2024-04-02,,Paid,IN-OCL-030967-3,Pack,1,15.0,15.0,walk-in,Stella Anane
20190,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-04-02,,Paid,IN-OCL-030966-9,Pack,1,5.0,5.0,walk-in,Stella Anane
20191,Non-medical,PARACETAMOL EXETER 30'S TABS,2024-04-02,,Paid,IN-OCL-030965-4,Pack,1,5.0,5.0,walk-in,Stella Anane
20192,Non-medical,Azithromycin (Zithromax )Cap 250mg,2024-04-02,,Paid,IN-OCL-030965-4,gram,1,170.0,170.0,walk-in,Stella Anane
20193,Non-medical,VERMOX ORAL TABLET 500MG,2024-04-02,,Paid,IN-OCL-030964-2,,1,24.0,24.0,walk-in,Stella Anane
20194,Non-medical,PREGNANCY TEST KITS,2024-04-02,,Paid,IN-OCL-030962-8,Box,1,5.0,5.0,walk-in,Stella Anane
20185,Non-medical,EPIDERM CREAM 30G (SHALINA),2024-04-02,,Paid,IN-OCL-030970-0,gram,1,12.0,12.0,walk-in,Stella Anane
20220,Non-medical,METHYLATED SPIRIT 60ML,2024-04-02,,Paid,IN-OCL-030949-2,Bottle,1,5.0,5.0,walk-in,Stella Anane
20213,Non-medical,MARTINS LIVER SALT LEMON,2024-04-02,,Paid,IN-OCL-030952-2,sachet,1,2.0,2.0,walk-in,Stella Anane
20222,Non-medical,VALUPAK FOLIC ACID 90'S,2024-04-02,,Paid,IN-OCL-030948-9,Bottle,1,37.0,37.0,walk-in,Stella Anane
20248,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030931-1,,1,3.0,3.0,walk-in,Richard Addo Owusu
20249,Non-medical,MENTHOX SUPER STRONG COUGH LOZENGES,2024-04-02,,Paid,IN-OCL-030931-1,Strip,2,1.5,3.0,walk-in,Richard Addo Owusu
20250,Non-medical,DICLO-DENK TABS 100MG,2024-04-02,,Paid,IN-OCL-030930-2,Box,10,4.5,45.0,walk-in,Richard Addo Owusu
20251,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030930-2,,2,3.0,6.0,walk-in,Richard Addo Owusu
20252,Non-medical,ZUBES EXTRA STRONG 125ML,2024-04-02,,Paid,IN-OCL-030930-2,Bottle,1,42.0,42.0,walk-in,Richard Addo Owusu
20253,Non-medical,AMOKSICLAV 1G,2024-04-02,,Paid,IN-OCL-030930-2,,1,119.0,119.0,walk-in,Richard Addo Owusu
20254,Non-medical,Gebedol,2024-04-02,,Paid,IN-OCL-030929-8,Pack,1,5.0,5.0,walk-in,Richard Addo Owusu
20255,Medical,BEL-AQUA WATER M/S,2024-04-02,,Paid,IN-OCL-030928-3,ml,2,3.0,6.0,walk-in,Richard Addo Owusu
20256,Medical,KISS CONDOM,2024-04-02,,Paid,IN-OCL-030928-3,sachet,1,6.0,6.0,walk-in,Richard Addo Owusu
20247,Non-medical,VERMOX ORAL TABLET 500MG,2024-04-02,,Paid,IN-OCL-030932-2,,2,24.0,48.0,walk-in,Richard Addo Owusu
20257,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030927-2,,2,3.0,6.0,walk-in,Richard Addo Owusu
20260,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030925-3,,1,3.0,3.0,walk-in,Richard Addo Owusu
20261,Non-medical,PREGNANCY TEST KITS,2024-04-02,,Paid,IN-OCL-030924-0,Box,2,5.0,10.0,walk-in,Richard Addo Owusu
20262,Non-medical,HISTAZINE TAB  10MG,2024-04-02,,Paid,IN-OCL-030923-2,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20263,Non-medical,SOOTHING STROBIN LOZENGES,2024-04-02,,Paid,IN-OCL-030923-2,Strip,1,3.0,3.0,walk-in,Richard Addo Owusu
20264,Non-medical,PREGNANCY TEST KITS,2024-04-02,,Paid,IN-OCL-030922-8,Box,1,5.0,5.0,walk-in,Richard Addo Owusu
20265,Non-medical,HISTAZINE TAB  10MG,2024-04-02,,Paid,IN-OCL-030921-7,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20266,Non-medical,MAALOX PLUS SUSP,2024-04-02,,Paid,IN-OCL-030921-7,ml,1,98.0,98.0,walk-in,Richard Addo Owusu
20267,Non-medical,SAMALIN ADULT COUGH SYR,2024-04-02,,Paid,IN-OCL-030920-3,ml,1,17.0,17.0,walk-in,Richard Addo Owusu
20221,Medical,ROUGH RIDER CONDOM FP 3',2024-04-02,,Paid,IN-OCL-030949-2,Pack,1,27.0,27.0,walk-in,Stella Anane
20258,Non-medical,Coldrilif syrup 60ml,2024-04-02,,Paid,IN-OCL-030927-2,Bottle,1,14.0,14.0,walk-in,Richard Addo Owusu
20246,Non-medical,MIST EXPECT SED,2024-04-02,,Paid,IN-OCL-030933-9,gram,1,10.0,10.0,walk-in,Richard Addo Owusu
20259,Medical,BLOOD PRESSURE TEST,2024-04-02,,Paid,IN-OCL-030926-7,gram,1,2.0,2.0,walk-in,Richard Addo Owusu
20244,Non-medical,PARACETAMOL 500MG TABLETS (LOCAL),2024-04-02,,Paid,IN-OCL-030935-6,,1,2.0,2.0,walk-in,Richard Addo Owusu
20223,Medical,AWAKE WATER 500ML,2024-04-02,,Paid,IN-OCL-030947-1,ml,1,2.0,2.0,walk-in,Stella Anane
20245,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030934-4,,1,3.0,3.0,walk-in,Richard Addo Owusu
20224,Non-medical,LYDIA POSTPILL,2024-04-02,,Paid,IN-OCL-030946-9,Pack,1,15.0,15.0,walk-in,Stella Anane
20225,Non-medical,CITRO C ASCORBIC ACID 100MG,2024-04-02,,Paid,IN-OCL-030945-1,,2,3.0,6.0,walk-in,Stella Anane
20226,Non-medical,LOZATY THROAT LOZENGES 24's,2024-04-02,,Paid,IN-OCL-030945-1,Tablet,10,2.0,20.0,walk-in,Stella Anane
