,PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
204,cotton wool s/s 100gm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CHYTN009,2028-07-31,gram,8,21.0
205,diclo-denk tabs 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDFHHJ2,2027-07-31,Box,320,4.6
206,diclo-denk rectal 100mg 10',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GFGVH98,2027-07-31,pc,48,8.3
207,diflucan fluconazole 150mg cap pfizer,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFLLO09,2028-07-31,Tablet,0,127.0
208,drez solution 30ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LUYYBB,2027-07-31,ml,1,32.5
209,drez solution 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LYHBH25,2027-07-31,ml,5,63.5
210,exforgehct 10mg/160mg/12.5mg novartis,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,EXF0098U,2026-07-31,mg,2,117.0
211,fiesta condoms 3's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FLOINHH009,2027-07-31,Single,29,9.3
212,flame xtra condom,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FLOOI98,2026-07-31,Pack,0,5.4
213,flucona fluconazole denk 100mg cap 10's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHGB02254,2026-07-31,Tablet,0,70.0
214,gebedol tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GBD00O2,2027-07-31,Tab,43,4.5
215,gebedol forte,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KJIU0097,2027-07-31,Pack,0,7.0
216,kiss condom,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KILK990,2027-07-31,sachet,11,8.3
217,lozaty throat lozenges 24's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LOJH025,2027-07-31,Tablet,105,4.0
218,lozaty lozenges 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,OLOI02,2025-07-31,pc,0,3.6
219,lufart ds,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LKIGGV25,2027-07-31,Tab,17,34.0
220,lydia postpill,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LIYT0098,2027-07-31,Pack,20,21.0
221,menthodex lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MTHB0002,2026-07-31,pc,1,1.5
222,menthodex 200ml syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MJNHN002,2027-07-31,ml,8,75.4
223,menthodex 100ml syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MKB00023,2027-02-28,ml,2,48.0
224,metagyl metronidazole 400mg tab 280's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MHT0025,2028-07-31,Tablet,7,4.0
225,mycostat fluconazole 150mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MYC0025,2027-07-31,Capsule,2,12.7
226,nesben albendazole 200mg tab ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NBC2250,2027-07-31,Tablet,0,14.0
227,nugel sus 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NKH0092,2026-07-31,ml,0,64.0
228,omega h3 caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,OMH4432,2026-07-31,gram,0,160.2
229,pregnacare plus omega-3 4s/caps 56' (d/o),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,4JFG5,2026-07-12,Pack,1,322.0
230,ors phyto-riker,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,OIRS0024,2027-02-28,gram,133,2.0
231,paracetamol 500mg tablets (local),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,PNB024,2027-07-31,,41,1.5
232,pregnacare conception tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,PHGN0024,2026-07-31,Pack,3,187.0
233,strepsils original lozenge  16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,STRE00PPPM,2026-07-31,Tablets,0,5.4
234,tot'hema ampoules 20's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TT0024,2027-07-31,Ampoule,58,8.0
235,voltfast powder 50mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VFL0024,2027-07-12,sachet,83,5.6
236,zinnat 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ZMN0024,2027-07-31,,2,238.0
237,zulu-100 tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ZLL00214,2026-11-30,Tablets,23,11.0
238,amoksiklav 228 susp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,amCEPWP2214,2025-07-31,ml,1,67.5
239,amlodipine 10mg tab 28's teva,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,amL018G001,2027-09-30,Tablet,11,18.5
240,mr.q,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,QQGV0312Y,2026-04-30,Tab,0,10.4
241,sencare crepe bandage 7.5cmx4.5m,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,jhL017F003,2025-01-31,Roll,1,8.0
242,crepe bandage 2'',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,jgL018G001,2025-02-28,pc,0,10.0
243,"crepe bandage 4""",Oddaremma Chemists Limited,Retail,Richard Addo Owusu,gcGV0312Y,2026-01-31,Roll,3,12.0
244,tiger spray,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TTCEPWP2214,2025-02-28,Container,6,57.6
245,savlon antiseptic 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGV0312Y,2024-12-31,Bottle,2,24.0
246,jointace  original caps 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ddCEPWP2214,2024-07-06,,0,123.0
247,coartem art/lumefantrine 40/480mg tab 6's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ddCEPWP2214,2024-07-05,Tablet,2,100.0
248,bel-aqua water m/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BBSAACEPWP2214,2026-02-28,ml,22,3.5
249,lisinopril 10mg tab 28's teva,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,AACEPWP2214,2026-01-31,Tablet,3,21.0
250,amoksiklav amoxicilin/clavulanic susp 457mg gsk,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,aaGV0312Y,2027-07-31,Bottle,1,86.0
251,savlon antiseptic soln 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SAV234,2027-07-31,Bottle,1,99.0
252,coa mixture 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CCGV0312Y,2026-01-31,Container,0,100.0
253,coa plus mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BBGV0312YCCC,2027-03-31,ml,4,200.0
254,colgate double action medium toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2BSH998,2027-06-28,Pack,0,16.0
255,colgate extra clean brush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BSH889,2027-06-28,Pack,1,7.0
256,mr q,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,OPKKY73PP,2027-06-30,Vial,54,14.5
257,blood pressure test,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BBGV0312Y,2025-04-30,gram,747,2.0
258,gebedol,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214zzGG,2027-03-31,Pack,5,4.0
259,zulu-100 tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987KK,2027-06-25,Tablets,0,9.0
260,lactulose solution 300ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L018G001kk,2027-03-31,ml,1,148.5
261,fleming 1000mg (sanofi),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,20CQ089kk,2026-06-24,Piece,2,108.0
262,fleming 625,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987jj,2026-06-24,Piece,1,40.5
263,vitamin c + zinc efferv. tab (bedita),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987vcc,2026-06-24,gram,15,62.0
264,colgate sensitive repair & prevent 100g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UCJ7749,2026-06-24,Tube,0,32.0
265,luex night time cough/cold syrup 150ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2EL02226,2027-05-23,Box,2,42.6
266,xoc charcoal toothpaste with brush 200g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,40568,2026-10-23,Single,0,35.0
267,colgate maxi cavity protection 220g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CN123J,2027-06-20,Pack,1,21.0
268,durex thin feel condoms 12's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1001931959,2027-09-23,Pack,1,80.0
269,durex extra safe condoms 12's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1001945803,2027-10-23,Pack,0,79.0
270,midstream pregnancy test 2's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2329801,2027-01-03,sachet,0,32.0
271,clotrimazole 1% w/w cream care+,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,08RV,2026-10-23,gram,3,47.0
272,xoc charcol m\w,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,9399,2026-07-23,Box,0,64.0
273,aspirin (alka-seltzer) 324 mg tabs 20's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BT18C51,2027-06-30,Tablet,16,6.5
274,ky jelly  personal lubricant 50g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,37RB,2025-07-31,Tube,0,116.4
275,hydrocortisone cream 15g (lavina),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1803A,2026-06-30,Box,0,10.4
276,valupak evening primrose oil 1000mg 30caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L15285,2026-05-31,Capsule,0,88.0
277,mycostat caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L017F003kk,2027-01-31,,7,12.7
278,vaginax cream,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L018G00122,2027-02-28,Tube,1,12.0
279,nugel o antacid susp 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312Y,2027-06-17,Bottle,4,67.0
280,neoferon syrup 200ml ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J8S88S87,2025-06-30,Bottle,1,31.0
281,celecoxib 200mg exeter 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HC7766H89,2025-06-30,sachet,1,58.0
282,permoxyl amoxicilin 125mg/5ml susp 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,PKKY73PP,2026-07-31,Bottle,4,16.2
283,folic acid tabs 5mg(p'nova) 1000's pack,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FFKKY73,2027-06-10,Pack,46,1.0
284,dragon tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2027-05-31,Tablets,27,8.0
285,fisherman's friend,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2026-09-10,sachet,0,28.0
286,fluxacin flucloxacilin 500mg cap 200's ecl,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2026-07-30,Tablet,0,17.5
287,penicillin v 250mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2025-07-30,,201,4.0
288,e-panol paracetamol 120mg/5ml 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CEPWP2214,2027-03-31,Bottle,23,15.0
289,dragon spray,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DRGV0312Y,2027-05-31,Pack,5,47.5
290,levon 2 tab post pill,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LEV0312Y,2027-04-30,Pack,32,15.4
291,cyprodine caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CCYYWP2214,2026-08-31,,2,109.2
292,lydia daily contraceptive pill,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLGV0312Y,2025-03-31,Tablet,1,7.2
293,nazo cream,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312Y,2027-01-10,Piece,1,5.0
294,gentian violet 60ml gv,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GV0312Y,2027-06-10,Bottle,15,3.5
295,citro c 100mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CCWP2214,2027-06-30,gram,78,3.5
296,mark 11 inhaler,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KKY73II,2027-02-28,gram,67,19.5
297,methylated spirit prolife 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJ47768,2025-05-31,Bottle,0,12.0
298,proximexa 250mg tablet,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,G899H990,2025-05-31,Box,0,91.8
299,tab clarityne 10's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,G78908M0,2025-05-31,Tablet,0,11.3
300,buscopan 10mg tab 56's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J7F75G75G6,2025-05-31,Pack,0,3.2
301,angelo toothpaste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,8J5656,2026-05-31,Box,20,53.0
302,angelo collagen,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2J5556,2026-05-31,Box,28,25.0
303,pepto bismol ultra 2x concentrateed form 354 ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,3193171951,2025-06-28,Bottle,0,229.5
304,ferrous sulphate 200mg (exeter),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,0111Z,2025-07-28,Tablet,0,18.9
305,bragg apple cider vinegar 946mls,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23179,2028-06-28,Bottle,2,189.0
306,canesten clotrimazole 1% cream 20g bayer,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,CCX9986-5,2027-04-28,Tube,1,87.3
307,polyfer forte 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XCC7798,2027-04-28,Bottle,6,24.0
308,wellvite vit c+zinc,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJKK09,2027-04-30,pc,16,46.0
309,haem up,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HHX99766,2027-04-28,,7,53.0
310,imboost herbal mixture 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GGI99-7,2027-04-30,ml,4,31.0
311,adom koo 30 capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,AKZ883-5,2027-04-28,gram,3,46.0
312,ekurobewu,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJK9005,2027-04-30,Tube,25,11.0
313,rooter tytonic 750ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VZ670334,2027-04-30,ml,1,40.0
314,rooter mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XCC9965,2026-04-28,ml,5,37.8
315,diagellates elixir 250 ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FFG8856,2027-04-30,ml,6,46.0
316,taabea herbal mixture 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XVC8894-2,2027-04-30,ml,2,29.0
317,gifas mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GX00-776,2026-04-30,Bottle,0,29.5
318,gifas caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GB8829,2027-04-28,Pak,5,30.0
319,ramicol chloramphenicol 0.5% eye drop 10ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,AXC778-6,2026-04-30,Bottle,2,8.0
320,ciprolex tz (ciprofloxacin 500mg + tinidazole 600mg),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XCZZ5674,2027-04-30,gram,9,65.0
321,surfaz - sn cream 15g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SD66754,2027-04-28,Cream,13,35.0
322,lofnac gel 30gm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IOU88-78,2027-04-30,Tube,16,14.0
323,zubes extra strong 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XZV55-7,2027-04-30,Bottle,4,43.0
324,zubes childrens cough syrup 60ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HHI88376,2027-06-30,Bottle,3,30.0
325,borges olive oil b/s(250ml),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GGH990-8,2026-04-30,Bottle,1,95.0
326,borges olive oil 125ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KII05564,2026-04-30,Bottle,0,58.5
327,starwins milk of magnesia 120ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VXZ881156,2027-04-30,Bottle,5,21.5
328,plaster roll 2',Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GP66057,2027-04-30,sachet,11,18.2
329,viscof-d syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VD66715,2027-04-30,Bottle,5,51.0
330,actifed dry cough syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IMX3378,2026-04-30,Single,0,114.0
331,coldrilif capsules,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYK5571,2027-04-30,Pack,18,8.0
332,lonart ds,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LGH990756,2027-04-30,Tab,1,41.0
333,stopkof expectorant (adults) 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ANK8879,2027-04-30,Bottle,9,25.0
334,efpac junior suspension,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JKI9907,2027-04-30,ml,12,18.5
335,amoxicillin 500mg caps 21's exeter,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HK88657,2025-04-28,,0,27.0
336,drez ointment 30g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DX6698,2027-04-30,Tube,7,56.8
337,drez ointment 10gm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DZ7780,2027-04-30,Tube,6,27.7
338,vikil 20,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KOL9398,2026-04-30,Bottle,3,43.0
339,lofnac-100 supp,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LM9937,2027-04-30,Suppossitory,100,2.5
340,rhizin syrup 5mg/5ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GG9943,2027-04-30,ml,13,8.0
341,rhizin cetirizine 10mg tab 100's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VKL9987,2027-04-30,Tablet,104,2.0
342,cyprodine new caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,QGH9967,2025-04-28,Capsule,0,105.0
343,multivitamin tablet,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,TYZ88456,2027-04-30,,56,1.0
344,panadol  extra 14's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LLKKJDRZ000987,2025-05-29,Strip,0,63.0
345,panadol  advance paracetamol 500mg tab 16's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XXZ99467,2027-04-28,Tablet,4,55.0
346,valupak folic acid 90's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK3394,2027-04-30,Bottle,1,42.5
347,malar 2 suspension,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ASD7735,2025-04-28,ml,0,30.0
348,ascoryl vitamin-c syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BV55467,2025-04-28,Bottle,0,14.4
349,decatylen lozenges 20's acino,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SSK89776,2027-05-31,Tablet,52,5.0
350,nugel antacid susp 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HKL9902,2026-01-17,Bottle,3,64.0
351,bells vitamin c syr 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VJH7789,2027-04-30,ml,6,59.0
352,magacid tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,LJD7781,2027-04-30,,82,2.5
353,metagyl metronidazole 200mg/5ml susp 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ZV0776,2025-04-28,Bottle,0,15.3
354,dynewell 200mlsyrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ZX99812,2027-04-30,ml,0,11.0
355,redsun jelly 100mg 4's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,RV9904,2027-04-30,,0,13.5
356,listerine cavity protection 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,MXZ5637,2025-04-28,ml,0,43.2
357,klovinal(metronidazole +clotrimazole+lactobacillus),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,OH9967,2027-04-30,gram,3,50.0
358,bonaplex syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VB7910,2027-04-30,,5,65.0
359,hydrogen peroxide local,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,AV2234,2027-04-30,ml,2,8.0
360,zincofer syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ZFLE23007,2027-04-30,Bottle,7,59.0
361,wormplex 400 tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,W2304,2027-04-30,,24,18.0
362,zentel albendazole 200mg tab 2's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,W2304,2027-04-21,Pack,13,24.0
363,vitarenew vitamin c eff 1g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,L48832,2025-04-21,pc,4,69.0
364,vermox oral tablet 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23AQ301,2027-04-30,,1,28.5
365,vitafol multivitamin cap 30's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DMT1L23N6001,2027-04-30,Pack,5,37.0
366,tylenol acetaminophen extra strength tabs 2 sachs 50's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GS15491,2025-04-21,sachet,0,9.0
367,nexcofer syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,0106Z,2025-04-21,Bottle,0,19.0
368,mist pot cit,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,Pc0023CA,2027-04-21,gram,10,8.0
369,masculan lubricant gel,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,J19040122A,2027-04-30,Bottle,4,98.0
370,maalox antacid sachets 20's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,3I033,2027-05-01,sachet,0,5.5
371,mycovin griseofulvin 500mg tab 250's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,0202A,2025-04-21,Tablet,0,20.7
372,hydrogen peroxide (ecl's),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1002A,2027-04-21,Bottle,6,14.0
373,fiesta condoms classic,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,PN495401,2027-06-30,gram,0,7.0
374,durol tonic 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2402312,2026-04-30,Bottle,0,25.5
375,feroglobin syrup 200ml vitabiotic,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,31363,2027-04-30,Tablet,3,126.0
376,durex extra safe 3' condoms,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,1001843710,2025-04-21,Pack,1,30.0
377,drez powder 10g stedman,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,XDZP-220,2027-04-30,Piece,3,30.0
378,congestyl syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,oPPSOSIHDBE,2027-03-31,Bottle,7,38.0
379,citro c ascorbic acid 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,Sez033,2025-04-21,,0,3.0
380,becoactin syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,018P2335,2027-04-30,Bottle,5,31.0
381,medisoft bar soap s/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KL554O7,2027-04-30,pc,4,10.0
382,tetracycline capsules 250mg letap,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,G655D56,2027-03-31,Capsule,31,3.5
383,stomocaine sugar free 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,13,2027-07-31,ml,1,51.5
384,advil pm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ADV5549134,2025-03-22,sachet,0,129.6
385,advil liqui-gels 200mg 20's caps,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ALG445723,2025-06-22,Box,0,109.8
386,advil ibuprofen 200mg tabs 2 sachs 50's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,ATS8177254,2027-11-22,sachet,48,8.0
387,grisoral susp 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GU2J301,2026-10-31,Bottle,0,26.1
388,essential embrocation 8 ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,F5F4G544,2026-03-31,ml,0,6.0
389,becoactin tablet,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,65FS6G987,2027-03-31,Box,5,31.0
390,vitaforce syrup 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,D56D6D896,2027-03-31,Bottle,5,65.0
391,folic acid 5mg wockhardt,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,G57V5589,2026-03-31,Tablet,1,18.0
392,buttercup original cough syrup 150ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,5D51G55,2025-03-31,Bottle,0,167.0
393,paracetamol syrup (exeter) 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,A15A5869,2026-03-31,Bottle,0,18.0
394,dr.  meyers coldaflu plus tabs 4's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,SHY89895F5,2025-03-31,Tablet,0,2.0
395,mr.q,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23434H6,2025-03-31,Vial,0,10.4
396,robaxin 750mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,23543H67,2025-03-31,Capsule,15,6.0
397,rapinol tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,222H2J2,2027-03-31,Tablets,40,1.8
398,easycare fabric plasters sachet,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,46677BN7,2027-03-31,Piece,158,2.0
399,evecare (himalaya) 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,467G767,2027-03-31,ml,2,132.0
400,wells castor oil 700mls,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,234567H7,2026-03-31,Bottle,2,39.5
401,braggs apple cider vinegar,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,5677F67,2026-03-31,Bottle,0,130.0
402,malar 2 forte ds,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,2345G766,2027-03-31,gram,1,28.0
403,victory garlic mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFH777,2027-03-31,Bottle,2,45.0
404,liv 52 tab 100's himalaya,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,112301844,2026-06-05,Tablet,0,111.6
405,colgate kids tooth paste,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GI5558J5,2025-02-28,Tube,0,18.0
406,kids colgate brush 2-5 yrs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,E2FGF4B3,2025-02-28,Bar,1,9.0
407,kids colgate brush 2-5 yrs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,E2FGF4B3,2025-02-28,Bar,0,8.0
408,colgate brush deep clean,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,E2FGF4B2,2025-02-28,Tube,0,7.0
409,colgate brush deep clean,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,E2FGF4B2,2028-02-28,Tube,0,9.0
